timestamp,temperature
2015-07-03T11:24:25,16
2015-07-03T12:24:25,18
2015-07-03T13:24:25,18
2015-07-03T14:24:25,22
2015-07-03T15:24:36,21
2015-07-03T16:24:25,21
2015-07-03T17:24:25,23
2015-07-03T18:24:25,22
2015-07-03T19:24:25,22
2015-07-03T20:24:25,19
2015-07-03T21:24:26,21
2015-07-03T22:24:25,23
2015-07-03T23:24:25,20
2015-07-04T00:24:25,20
2015-07-04T10:24:26,17
2015-07-06T11:24:25,18
2015-07-06T12:24:24,24
2015-07-06T13:24:25,29
2015-07-06T14:24:24,27
2015-07-06T15:24:25,27
2015-07-06T16:24:25,33
2015-07-06T17:24:25,32
2015-07-06T18:24:25,33
2015-07-06T19:24:25,35
2015-07-06T20:24:26,32
2015-07-06T21:24:25,31
2015-07-06T22:24:25,36
2015-07-06T23:24:25,36
2015-07-07T00:24:25,27
2015-07-07T10:24:25,19
2015-07-08T22:24:25,32
2015-07-08T23:24:25,32
2015-07-09T00:24:25,30
2015-07-09T11:24:26,23
2015-07-09T12:24:25,23
2015-07-09T13:24:25,28
2015-07-09T14:24:25,31
2015-07-09T15:24:25,32
2015-07-09T16:24:25,35
2015-07-09T17:24:25,32
2015-07-09T18:24:25,31
2015-07-09T19:24:25,30
2015-07-09T20:24:25,31
2015-07-09T21:24:25,30
2015-07-12T22:24:25,25
2015-07-12T23:24:25,25
2015-07-13T00:24:25,20
2015-07-13T10:24:25,14
2015-07-13T11:24:25,12
2015-07-13T12:24:24,15
2015-07-13T13:24:25,18
2015-07-13T14:24:25,26
2015-07-13T15:24:25,26
2015-07-13T16:24:25,25
2015-07-13T17:24:26,31
2015-07-13T18:24:25,28
2015-07-13T19:24:25,28
2015-07-13T20:24:25,27
2015-07-13T21:24:31,26
