timestamp,temperature
2015-07-02T16:24:28,30
2015-07-02T17:24:28,30
2015-07-02T18:24:29,33
2015-07-02T19:24:30,33
2015-07-02T20:24:28,29
2015-07-02T21:24:28,30
2015-07-02T22:24:28,28
2015-07-02T23:24:29,30
2015-07-03T00:24:28,28
2015-07-03T01:24:31,26
2015-07-03T10:24:28,20
2015-07-04T11:24:28,17
2015-07-04T12:24:28,22
2015-07-04T13:24:28,22
2015-07-04T14:24:28,27
2015-07-04T15:24:36,27
2015-07-04T16:24:28,33
2015-07-04T17:24:28,32
2015-07-04T18:24:30,32
2015-07-04T19:24:28,31
2015-07-04T20:24:34,31
2015-07-04T21:24:29,30
2015-07-04T22:24:45,28
2015-07-04T23:24:28,26
2015-07-05T00:24:28,25
2015-07-05T01:24:28,21
2015-07-05T10:24:28,18
2015-07-05T11:24:28,18
2015-07-05T12:24:28,20
2015-07-05T13:24:28,24
2015-07-05T14:24:29,27
2015-07-05T15:24:28,30
2015-07-05T16:24:28,32
2015-07-05T17:24:32,33
2015-07-05T18:24:50,34
2015-07-05T19:24:28,34
2015-07-05T20:24:28,35
2015-07-05T21:24:28,33
2015-07-05T22:24:29,31
2015-07-05T23:24:28,31
2015-07-06T00:24:39,31
2015-07-06T01:24:28,28
2015-07-07T11:24:28,22
2015-07-07T12:24:31,26
2015-07-07T13:24:29,26
2015-07-07T14:24:28,28
2015-07-07T15:24:28,36
2015-07-07T16:24:33,36
2015-07-07T17:24:28,-12
2015-07-07T18:24:29,-12
2015-07-07T19:24:28,-12
2015-07-07T20:24:28,-12
2015-07-07T21:24:28,-12
2015-07-07T22:24:28,37
2015-07-07T23:24:29,36
2015-07-08T00:24:29,35
2015-07-08T01:24:32,32
2015-07-08T10:24:28,21
2015-07-08T11:24:28,21
2015-07-08T12:24:28,27
2015-07-08T13:24:28,30
2015-07-08T14:24:28,32
2015-07-08T15:24:28,35
2015-07-08T16:24:51,36
2015-07-08T17:24:28,-12
2015-07-08T18:24:29,-12
2015-07-08T19:24:28,-12
2015-07-08T20:24:33,-12
2015-07-08T21:24:28,37
2015-07-09T22:24:30,22
2015-07-09T23:24:28,23
2015-07-10T00:24:29,22
2015-07-10T01:24:28,21
2015-07-10T10:24:29,18
2015-07-10T11:24:30,17
2015-07-10T12:24:38,17
2015-07-10T13:24:28,18
2015-07-10T14:24:31,16
2015-07-10T15:24:29,18
2015-07-10T16:24:28,22
2015-07-10T17:24:28,26
2015-07-10T18:24:30,27
2015-07-10T19:24:46,28
2015-07-10T20:24:29,28
2015-07-10T21:24:28,27
2015-07-10T22:24:28,25
2015-07-10T23:24:28,24
2015-07-11T00:24:28,22
2015-07-11T10:24:42,17
2015-07-11T11:24:29,17
2015-07-11T12:24:28,17
2015-07-11T13:24:28,17
